"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"257",NA,NA,NA,0.381,0.3283,1,NA,NA,NA,0.25,NA,1,NA,NA,NA,NA,NA,0.3636,NA,0.3283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,"latest"
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"259",0.678,0.6629,0.6629,0.597,0.6047,1,NA,0,NA,0.7,NA,0.5906,NA,NA,NA,NA,NA,1,NA,0.6047,0.6191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.6531,NA,0,NA,"latest"
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.2292,0.2292,0.25,0.2708,0,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,0.3333,0.2708,0.2857,0.2075,0.2075,NA,NA,NA,0.2941,NA,0,"latest"
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,"latest"
"262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6384,0.5802,0.5802,0.6384,0.6327,NA,NA,0.875,NA,NA,0.4151,0.7638,NA,1,NA,0.6,NA,NA,0.5825,0.6327,0.6278,0.6494,0.6494,NA,0.4684,NA,0.8188,NA,NA,"latest"
"263",NA,NA,NA,0.3662,0.3688,0,NA,0.5,NA,0.2254,NA,0.3304,NA,NA,0.6333,NA,0.3516,0.3886,NA,0.3688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371,NA,0.3125,NA,0.4672,NA,"latest"
"264",NA,NA,NA,0.4801,0.4875,0.6667,NA,1,NA,0.3784,NA,0.2143,NA,0,NA,0.375,NA,0.5221,NA,0.4875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3897,NA,0.5924,NA,"latest"
"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5015,0.4856,0.4856,0.5943,0.584,0.8,NA,0.6522,NA,NA,0.5847,0.6146,NA,0,NA,0.5263,NA,NA,0.6,0.584,0.5767,0.5781,0.5781,NA,NA,NA,0.6525,NA,0.5696,"latest"
"266",0.1929,0.1698,0.1698,0.3633,0.3559,0.2,NA,0.4545,NA,0.2866,NA,0.3966,NA,0.5,0.5,NA,0.3333,0.4521,NA,0.3559,0.3339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3737,NA,0.3282,NA,0.4586,NA,"latest"
"267",0.4818,0.464,0.464,0.5472,0.5299,0.5,NA,0.4,NA,0.5333,NA,0.5833,NA,NA,0.6452,1,0.5882,0.4899,NA,0.5299,0.4548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4906,NA,0.5128,NA,0.5674,NA,"latest"
"268",0.4372,0.435,0.435,0.5566,0.5536,0.3333,NA,0.6667,NA,0.5185,NA,0.6429,NA,1,0.7273,0.625,0.7037,0.5289,NA,0.5536,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6135,NA,0.5423,NA,0.5338,NA,"latest"
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7087,0.6243,0.6243,0.7087,0.6243,0.5714,NA,0.5,NA,NA,0.4531,0.5233,NA,0.4,NA,NA,NA,NA,0.8517,0.6243,0.5415,0.6153,0.6153,NA,0.6831,NA,0.7619,NA,NA,"latest"
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2451,0.274,0.274,0.6748,0.6644,0.2,NA,0.8,NA,NA,0.6398,0.7969,NA,0.5,NA,0.5,0.4762,NA,0.84,0.6644,0.6703,0.6597,0.6597,NA,0.8182,NA,0.6686,NA,0.4,"latest"
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7288,0.7557,0.7557,0.8136,0.8168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8168,0.8194,0.8301,0.8301,NA,0.8571,NA,0.9063,NA,0.5385,"latest"
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0279,0.0206,0.0206,0.0279,0.0386,NA,NA,0.6667,NA,NA,0.0185,0.0132,NA,NA,NA,0,NA,NA,0.0222,0.0386,0.0673,0.1411,0.1411,NA,NA,NA,0,NA,0.0397,"latest"
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3226,0.3268,0.3268,0.5161,0.5948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5948,0.6484,0.613,0.613,NA,0,NA,0.5714,NA,0.3333,"latest"
"274",0.2915,0.2565,0.2565,0.3662,0.3164,0,NA,1,NA,0.25,NA,0.3936,NA,NA,0.6757,0,0.2627,0.36,NA,0.3164,0.3106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4889,NA,0.2414,NA,0.5,NA,"latest"
"275",0.2814,0.2744,0.2744,0.5781,0.5721,0.75,NA,0.6846,NA,0.5098,NA,0.6006,NA,0.1667,0.7077,0.5595,0.4857,0.4836,NA,0.5721,0.6237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4817,NA,0.5816,NA,0.5936,NA,"latest"
"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4324,0.4949,0.4949,0.5622,0.6422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6422,0.6791,0.5903,0.5903,NA,NA,NA,0.5273,NA,0.6133,"latest"
"277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6798,0.4737,0.4737,0.71,0.7493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7493,0.8036,0.7533,0.7533,NA,0.5,NA,0.9545,NA,0.5022,"latest"
"278",0.5225,0.4839,0.4839,0.6481,0.6171,0.6667,NA,0.8333,NA,0.508,NA,0.656,NA,NA,0.6,0.5217,0.5357,0.7103,NA,0.6171,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732,NA,0.6458,NA,0.5473,NA,"latest"
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3067,0.25,0.25,0.6196,0.6286,NA,NA,NA,NA,NA,0.4706,0.6694,NA,NA,NA,0.5,0.5833,NA,0.3333,0.6286,0.6496,0.5856,0.5856,NA,0.9167,NA,0.5946,NA,0.6667,"latest"
"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"281",0.6602,0.6425,0.6425,0.8288,0.8148,0.7143,NA,0.8595,NA,0.8186,NA,0.8263,NA,0.6667,0.7586,0.7514,0.7308,0.8352,NA,0.8148,0.8074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8742,NA,0.7849,NA,0.84,NA,"latest"
"282",0.305,0.2783,0.2783,0.3073,0.2826,0.2826,NA,0.6133,NA,0.1558,NA,0.4099,NA,0.2667,0.8864,0.2952,0.3564,0.3781,NA,0.2826,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5296,NA,0.2536,NA,0.4964,NA,"latest"
"283",NA,NA,NA,0.3787,0.3556,0.1429,NA,0.4444,NA,0.2039,NA,0.3333,NA,NA,0.3125,0.303,0.4318,0.4123,NA,0.3556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3117,NA,0.4738,NA,"latest"
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.065,0.065,0.25,0.2402,NA,NA,NA,NA,NA,0.1429,0.275,NA,0,NA,0,NA,NA,0.4,0.2402,0.2383,0.2687,0.2687,NA,NA,NA,0.2449,NA,0.2857,"latest"
"285",0.5455,0.4375,0.4375,0.5455,0.4375,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.5,NA,NA,0.5714,NA,0.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.5,NA,"latest"
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,"latest"
"287",0.5023,0.4948,0.4948,0.6015,0.5991,NA,NA,0.7727,NA,0.5231,NA,0.5959,NA,1,0.6404,0.4545,0.6296,0.599,NA,0.5991,0.5755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5775,NA,0.5563,NA,0.6318,NA,"latest"
"288",0.5515,0.5332,0.5332,0.7344,0.7224,0.6667,NA,0.8069,NA,0.731,NA,0.7468,NA,0.4286,0.8132,0.6343,0.7917,0.727,NA,0.7224,0.7157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7042,NA,0.7247,NA,0.76,NA,"latest"
"289",0.22,0.2179,0.2179,0.4338,0.4367,0.25,NA,0.6038,NA,0.3682,NA,0.3957,NA,0.4,0.6,0.3529,0.3333,0.4521,NA,0.4367,0.5118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3846,NA,0.3648,NA,0.5202,NA,"latest"
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3416,0.3286,0.3286,0.6522,0.7009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7009,0.7531,0.7318,0.7318,NA,0.7,NA,0.7,NA,0,"latest"
"291",0.5007,0.4687,0.4687,0.5976,0.6003,1,NA,0.9167,NA,0.56,NA,0.5102,NA,0,0.5476,0.64,0.6136,0.6222,NA,0.6003,0.5901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6053,NA,0.5128,NA,0.6265,NA,"latest"
"292",NA,NA,NA,0.3466,0.3282,0.25,NA,0.5634,NA,0.2678,NA,0.3543,NA,0.6667,0.4019,0.2727,0.3786,0.3735,NA,0.3282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3231,NA,0.3088,NA,0.4419,NA,"latest"
"293",0.6278,0.6057,0.6057,0.7152,0.6846,1,NA,0.84,NA,0.5,NA,0.8478,NA,0.5,0.6429,0,0.5,0.7119,NA,0.6846,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7447,NA,0.6885,NA,0.7078,NA,"latest"
"294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6988,0.743,0.743,0.6988,0.743,1,NA,0.6667,NA,NA,0.5667,0.6752,NA,1,NA,NA,NA,NA,0.735,0.743,0.8013,0.6645,0.6645,NA,NA,NA,0.7612,NA,0.6827,"latest"
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5462,0.3292,0.3292,0.5462,0.3745,NA,NA,NA,NA,NA,0.5616,0.525,NA,NA,NA,NA,NA,NA,0.5,0.3745,0.2581,0.3236,0.3236,NA,NA,NA,0.6237,NA,0.2692,"latest"
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2632,0.1464,0.1464,0.6316,0.5366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5366,0.4545,0.4048,0.4048,NA,1,NA,0.4615,NA,1,"latest"
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5488,0.5417,0.5417,0.5488,0.5417,0.5,NA,0.5,NA,NA,0.5,0.6857,NA,0.6667,NA,0.4231,NA,NA,0.5596,0.5417,0.5332,0.5864,0.5864,NA,NA,NA,0.5068,NA,0.5708,"latest"
"298",NA,NA,NA,0.4386,0.4257,0.3571,NA,0.6626,NA,0.303,NA,0.4138,NA,0.44,0.4945,0.4173,0.6234,0.491,NA,0.4257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3862,NA,0.4014,NA,0.5323,NA,"latest"
"299",NA,NA,NA,0.4621,0.4033,0.3333,NA,0.625,NA,0.2885,NA,0.4824,NA,1,0,0.35,0.4063,0.4813,NA,0.4033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4615,NA,0.4103,NA,0.5196,NA,"latest"
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6166,0.7123,0.7123,0.7955,0.8103,0.5,NA,0.75,NA,NA,0.5319,1,NA,NA,NA,0.625,NA,NA,0.8508,0.8103,0.8661,0.8317,0.8317,NA,NA,NA,1,NA,0.1688,"latest"
"301",0.2598,0.249,0.249,0.4217,0.4118,0,NA,0.4286,NA,0.3125,NA,0.2375,NA,0,0.6,1,0.4,0.481,NA,0.4118,0.4177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4173,NA,0.3552,NA,0.5227,NA,"latest"
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7373,0.817,0.817,0.7373,0.817,0,NA,0,NA,NA,0.087,0.6316,NA,NA,NA,NA,NA,NA,0.8757,0.817,0.8831,0.8834,0.8834,NA,NA,NA,0.6541,NA,0.8279,"latest"
"303",NA,0.6129,0.6129,0.3333,0.2857,NA,NA,NA,NA,0.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2857,0.4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,NA,"latest"
"304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8026,0.8044,0.8044,0.8026,0.8044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8044,0.8077,0.8049,0.8049,NA,NA,NA,0.8026,NA,NA,"latest"
"305",0,0,NA,0.4425,0.5579,NA,NA,0,NA,0.3333,NA,0.4388,NA,NA,0.6667,NA,0,0.8,NA,0.5579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,NA,0.4356,NA,0.25,NA,"latest"
"306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4834,0.5225,0.5225,0.4834,0.5225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5225,0.5751,0.5619,0.5619,NA,NA,NA,0.303,NA,0.6429,"latest"
"307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6414,0.7588,0.7588,0.7801,0.8368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8368,0.9094,0.9073,0.9073,NA,0.6,NA,0.9074,NA,0.4673,"latest"
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4514,0.4626,0.4626,0.5764,0.6178,NA,NA,1,NA,NA,0.5806,0.5333,NA,0,NA,0.5833,NA,NA,0.5833,0.6178,0.6452,0.6618,0.6618,NA,0.5,NA,0.5906,NA,0.4444,"latest"
"309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867,0.8593,0.8593,0.867,0.8593,NA,NA,1,NA,NA,1,0.8651,NA,NA,NA,NA,NA,NA,1,0.8593,0.8523,0.8279,0.8279,NA,0.381,NA,0.9271,NA,0.6,"latest"
"310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6684,0.6636,0.6636,0.6684,0.6636,0.7,NA,0.8333,NA,NA,0.5743,0.6949,NA,NA,NA,0.6667,1,NA,0.7478,0.6636,0.6349,0.7431,0.7431,NA,0.7808,NA,0.5579,NA,0.9831,"latest"
"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1293,0.184,0.184,0.1293,0.2884,NA,NA,NA,NA,NA,0,0.1327,NA,NA,NA,NA,NA,NA,0,0.2884,0.6809,0.8378,0.8378,NA,0.2,NA,0.1474,NA,0,"latest"
"312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3478,0.7576,0.7576,0.8913,0.8839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8839,0.8816,0.8767,0.8767,NA,1,NA,0.75,NA,0.963,"latest"
"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.9608,0.9608,0.95,0.9608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9608,0.9677,0.9275,0.9275,NA,1,NA,0.8333,NA,1,"latest"
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.4945,0.4945,0.8125,0.7253,NA,NA,1,NA,NA,0.8103,1,NA,0,NA,NA,NA,NA,0.7692,0.7253,0.0909,0.4324,0.4324,NA,NA,NA,1,NA,0.8101,"latest"
"315",0.7949,0.7949,0.7949,0.8462,0.8462,NA,NA,1,NA,0.75,NA,0.8519,NA,0.8333,0.7778,1,0.75,0.875,NA,0.8462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8462,NA,"latest"
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4306,0.5056,0.5056,0.8056,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809,0.8235,0.84,0.84,NA,NA,NA,0.8169,NA,0,"latest"
"318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
